season,fpl_code,element,player_name,position,team_name,understat_id,understat_player_name,mapping_status,confidence,source
2026-27,232892,257,Bassey,DEF,Fulham,11728,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,232905,287,Millar,MID,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,232928,239,Garner,MID,Everton,7438,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,235826,348,Piroe,FWD,Leeds,13835,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,240514,564,Scherpen,GKP,Ipswich Town,9960,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,241117,310,Matusiwa,MID,Ipswich Town,9978,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,241293,186,Mason-Clark,MID,Coventry City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,242313,207,Mingueza,DEF,Crystal Palace,9011,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,242880,146,B.Badiashile,DEF,Chelsea,7240,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,242882,62,Diakité,DEF,Bournemouth,7268,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,242898,209,Johnson,MID,Crystal Palace,10760,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,243016,372,Mac Allister,MID,Liverpool,8379,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,243298,367,Gakpo,MID,Liverpool,11296,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,243413,290,Slater,MID,Hull City,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,243526,331,Gudmundsson,DEF,Leeds,9944,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,243571,234,Patterson,DEF,Everton,10292,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244042,271,Muniz,FWD,Fulham,10717,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244723,204,Mitchell,DEF,Crystal Palace,8214,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244850,40,Rogers,MID,Chelsea,12412,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244851,154,Palmer,MID,Chelsea,8497,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244858,100,Carvalho,MID,Brentford,9501,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,244860,247,Hackney,MID,Everton,,,unmapped,NONE,smartplayfpl_mapping_release
2026-27,244954,34,Pau,DEF,Aston Villa,6221,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,246301,255,J.Cuenca,DEF,Fulham,8489,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,247348,201,Muñoz,DEF,Crystal Palace,12408,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,247412,222,Strand Larsen,FWD,Crystal Palace,11070,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,247632,156,Neto,MID,Chelsea,6382,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,248056,345,Tanaka,MID,Leeds,13834,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,248857,16,Madueke,MID,Arsenal,11357,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,248875,400,Doku,MID,Man City,8981,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,249231,86,Lewis-Potter,MID,Brentford,10809,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,250199,487,Dominguez,MID,Nott'm Forest,8252,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,424876,368,Szoboszlai,MID,Liverpool,9788,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,427623,202,Richards,DEF,Crystal Palace,8430,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,427637,337,Aaronson,MID,Leeds,10751,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,428580,104,Onyeka,MID,Coventry City,9681,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,430871,428,Cunha,MID,Man Utd,7080,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,432422,455,Tonali,MID,Spurs,7958,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,432714,486,McAtee,MID,Nott'm Forest,10126,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,432720,385,Trafford,GKP,Leeds,9077,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,432830,84,Collins,DEF,Brentford,9733,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,432987,354,Jaros,GKP,Liverpool,13103,,mapped,HIGH,smartplayfpl_mapping_release
